ID_star,ID_system,Name,GJ,Karmn,RA_J2016,DE_J2016,SpT,SpTnum,SpT_ref,Type,Class,Component,System,SB,SB_ref,Discoverer,Group,Group_ref,Nplanet,Planet_ref,Category,Remarks,WDS_id,WDS_comp,WDS_obs1,WDS_obs2,WDS_nobs,WDS_pa2,WDS_sep2,WDS_mag1,WDS_mag2,s01,rho01,theta01,s01_ref,s02,rho02,theta02,muratio,deltaPA,deltad,M_Msol,eM_Msol,R_Rsol,eR_Rsol,MR_ref,L_Lsol,eL_Lsol,L_ref,MG_mag,eMG_mag,Teff_K,eTeff_K,Teff_ref,logg,elogg,Fe_H,Fe_H_ref,q,P01,eP01,P01_ref,P02,eP02,Ug_J,eUg_J,crit_ruwe,crit_ipd_ruwe,crit_rv,crit_rv_error,crit_ipd_fmp,crit_dupl_source,crit_non_single,crit_DR3_non_single,Candidate,GaiaDR3_id,2MASS_id,AllWISE_id,ra,ra_error,dec,dec_error,parallax,parallax_error,parallax_ref,pmra,pmra_error,pmdec,pmdec_error,pm_ref,rv,rv_error,rv_ref,ruwe,astrometric_excess_noise,astrometric_excess_noise_sig,phot_bp_rp_excess_factor,phot_bp_n_blended_transits,phot_rp_n_blended_transits,phot_variable_flag,rv_chisq_pvalue,rv_amplitude_robust,rv_nb_transits,rv_renormalised_gof,astrometric_n_obs_al,astrometric_n_good_obs_al,ipd_gof_harmonic_amplitude,ipd_frac_multi_peak,duplicated_source,BP_mag,eBP_mag,G_mag,eG_mag,RP_mag,eRP_mag,J_mag,eJ_mag,H_mag,eH_mag,Ks_mag,eKs_mag,Qf_2M,W1mag,e_W1mag,W2mag,e_W2mag,W3mag,e_W3mag,W4mag,e_W4mag,Qf_W
1,1,BD+13 5195A,,J00012+139N,00:01:13.21,+13:58:32.7,M0.5 V,70.5,Joy74,Multiple,Triple,AB,(AB)+C,,,LSC 2,,,0,,2,,00012+1357,Aa Ab,2014,2019,4,170.00,0.247,10.7,13.1,9.0342,0.247,170.00,,,,,,,,,,,,n/a,,,n/a,7.1078,0.0202,,,n/a,,,,n/a,,,,,,,,,true,true,true,false,false,false,0,,false,2767387380324493184,00011318+1358302,J000113.16+135830.6,0.3050591048212220,0.19339187,13.975743360423900,0.14310738,27.340553869047300,0.25144008,DR3,15.608283469241000,0.22558732,150.04990409832700,0.2255344,DR3,-6.073462,0.3825362,DR3,11.480915,1.5833552,2799.2815,1.3702363,27,21,NOT_AVAILABLE,2.1094237E-15,4.9119425,18,6.1902523,356,353,0.1176385,29,false,10.7009,0.0030,9.9238,0.0033,8.9674,0.0038,7.798,0.023,7.179,0.033,7.023,0.026,AAA,6.162,0.064,6.638,0.021,6.685,0.016,6.617,0.078,AAAA
2,1,BD+13 5195B,,J00012+139S,00:01:12.89,+13:58:22.0,M0.0 V,70.0,Lep13,Multiple,Triple,C,,,,WNO 12,,,0,,2,,00012+1357,AB,1906,2018,33,204.10,11.629,10.66,11.12,420.6488,11.6569,203.85,,,,,0.0726,4.1200,0.0136,0.6923,0.0258,0.6558,0.0116,This work,0.1019345500,0.0005617761,This work,7.6647,0.0032,3900,50,This work,5.00,0.25,,n/a,,,,,,,,,false,false,false,false,false,false,0,,false,2767384425386994048,00011286+1358196,J000112.87+135820.6,0.30370999804672400,0.01728949137032030,13.972781783642000,0.012831608764827300,27.71179805226480,0.019945703,DR3,26.55170271324010,0.022161389,149.687732186206,0.018032238,DR3,-10.254606,0.163111,DR3,1.0332841,0.08579333871603010,9.632179260253910,1.3143582,9,10,NOT_AVAILABLE,0.73307365,1.7209129,24,-1.496112,349,346,0.08557179570198060,0,false,11.3448,0.0029,10.4514,0.0028,9.5165,0.0038,8.359,0.024,7.714,0.034,7.528,0.027,AAA,7.680,0.086,7.714,0.063,7.600,0.045,7.075,0.110,AAAB
3,2,PM J00026+3821A,,J00026+383,00:02:40.00,+38:21:44.1,M4.0 V,74.0,Fri13,Multiple,Double,A,AB,,,,,,0,,3,,,,,,,,,,,,,,,,,,,,,0.3572,0.0329,0.3554,0.0148,This work,,,n/a,10.1495,0.0188,,,n/a,,,,n/a,,,,,,,,,true,false,false,false,false,false,0,,false,2880923878720791680,00024011+3821453,J000240.05+382144.8,0.6666558689959600,0.1286710649728780,38.36225022467830,0.11414725333452200,24.621772521351900,0.20984109,DR3,-70.97334111280750,0.1659828,-23.820094440328200,0.13198851,DR3,1.3576199,1.2624373,DR3,3.7408385,1.7179392576217700,3060.23046875,1.9337811,34,33,NOT_AVAILABLE,,,18,,449,445,0.024872835725545900,21,false,14.5023,0.0294,13.1929,0.0032,11.6667,0.0276,9.707,0.034,9.203,0.040,8.911,0.029,AAA,8.568,0.023,8.385,0.019,8.265,0.022,8.506,0.372,AAAC
4,2,PM J00026+3821B,,,00:02:40.05,+38:21:45.3,M3.5 V,73.5,This work,Multiple,Double,B,,,,Cif20,,,0,,3,,,,,,,,,,,55.7459,1.4155,28.12,,,,,0.2139,12.2541,0.0313,0.3298,0.0338,0.3305,0.0154,This work,,,n/a,10.4115,0.0317,,,n/a,,,,n/a,0.9233,,,,502.2,17.2,3.728E+36,5.137E+35,true,false,false,false,false,false,0,,false,2880923878719382656,,,0.6668922290914670,0.28169798851013200,38.36259699497130,0.13338342308998100,25.391611921548100,0.36842054,DR3,-61.10402784136530,0.42250785,-36.435274386972300,0.19202133,DR3,2.5372624,2.7131217,DR3,2.6708603,1.7474135160446200,2153.816162109380,,,,NOT_AVAILABLE,,,15,,270,270,0.019994797185063400,0,false,,,13.3881,0.0032,,,,,,,,,,,,,,,,,,
5,0,StKM 1-2199,,J00033+046,00:03:18.97,+04:41:11.6,M1.5 V,71.5,Lep13,Single,,-,,,,,,,0,,3,,,,,,,,,,,,,,,,,,,,,0.5109,0.0291,0.4943,0.0131,This work,0.0394760850,0.0002029709,This work,8.8819,0.0034,3600,50,This work,5.50,0.25,-0.13,Gai14b,,,,,,,,,false,false,false,false,false,false,0,,false,2741901697224268928,00031900+0441128,J000318.98+044111.9,0.8290605379636380,0.02583044394850730,4.686556382386220,0.020941730588674500,34.87883256753030,0.031003335,DR3,-25.632663752207900,0.034824155,-84.21135156069780,0.02898667,DR3,-6.0048437,0.27557704,DR3,1.6023357,0.20366846024990100,59.830238342285200,1.3655137,10,0,VARIABLE,0.36259288,4.2775774,22,-0.1059743,301,296,0.033489760011434600,0,false,12.2657,0.0033,11.1691,0.0028,10.1249,0.0039,8.833,0.029,8.183,0.018,7.976,0.024,AAA,7.799,0.028,7.746,0.019,7.664,0.018,7.434,0.149,AAAB
6,3,HD 38A,4 A,,00:05:42.38,+45:48:40.9,K7 V,67.0,Tam06,Multiple,Quadruple,Aab,Aab+B+C,SB,Abt70/Str93,Abt70,Hya,Cor24,0,,1,Triple according to e.g. Cve12 or Kiy20,,,,,,,,,,,,,n/a,,,,,,,,,,,n/a,,,n/a,7.9429,0.0029,,,n/a,,,0.03,Ros21,,,,n/a,,,,,false,false,false,false,false,false,0,,false,386653851004022144,00054091+4548435,J000541.85+454838.9,1.4265906375173700,0.019555574283003800,45.811373876292500,0.015456452034413800,86.80034639406610,0.024339102,DR3,888.4790652562920,0.022946188,-162.83098719525600,0.019623658,DR3,1.2486756,0.21936586,DR3,1.1564049,0.14391079545021100,17.336809158325200,1.3146594,0,0,NOT_AVAILABLE,0.023008343,0.76655096,18,2.458198,400,398,0.0034260982647538200,0,false,9.1566,0.0029,8.2503,0.0028,7.3109,0.0038,6.100,0.026,6.816,,5.262,0.016,AUA,4.447,0.349,3.964,0.177,4.336,0.015,4.415,0.029,BBAA
7,3,HD 38B,4 B,J00056+458,00:05:42.30,+45:48:35.0,M0.0 V,70.0,Cve12 ,Multiple,Quadruple,B,,,,STT 547,Hya,Cor24,0,,2,,00057+4549,AB,1876,2021,436,190.50,5.937,8.98,9.15,69.4957,6.0337,188.42,,,,,0.0520,0.4028,0.0002,0.6400,0.0267,0.6094,0.0120,This work,,,n/a,7.9938,0.0029,,,n/a,,,0.05,Ros21,,,,,,,,,false,false,false,false,false,false,0,,false,386653747925624576,00054090+4548374,,1.4262386378366100,0.0259307399392128,45.80971591580010,0.01823505386710170,86.82060614940870,0.029744592,DR3,846.0132101843460,0.02998101,-148.9092143394260,0.02449467,DR3,-2.2391562,0.13771725,DR3,1.1844672,0.1981499195098880,37.92449188232420,1.3182762,0,0,NOT_AVAILABLE,0.1720072,0.76963127,13,-0.2560255,382,380,0.007089764811098580,2,false,9.2227,0.0029,8.3007,0.0028,7.3525,0.0038,6.142,0.026,4.708,9.996,5.284,0.023,AFA,,,,,,,,,
8,3,GJ 2,2,J00051+457,00:05:12.22,+45:47:09.2,M1.0 V,71.0,Rei95,Multiple,Quadruple,C,,,,STT 547,Hya,Cor24,0,,1,,00057+4549,AF,1897,2018,42,253.90,329.97,8.98,10.19,3778.6669,328.4790,253.83,,,,,0.0239,0.5220,0.0015,0.4915,0.0122,0.4885,0.0043,This work,0.0435763700,0.0002257757,This work,8.7809,0.0028,3773,16,Marf21,5.50,0.25,-0.04,Marf21,,,,,,,,,false,false,false,false,false,false,0,,false,386655019234959872,00051079+4547116,J000511.75+454710.1,1.3009212651019300,0.014364718459546600,45.785894350455100,0.010900549590587600,86.92985294608010,0.017042965,DR3,870.7325008268120,0.017015498,-151.3924962859700,0.013093354,DR3,-0.79244775,0.13856892,DR3,1.0039248,0.10522175580263100,13.266131401062000,1.3608297,0,0,VARIABLE,0.22462136,1.0898935,20,-1.9254658,392,392,0.007255940698087220,0,false,10.1752,0.0031,9.0851,0.0028,8.0469,0.0038,6.704,0.021,6.098,0.024,5.853,0.018,AAA,5.755,0.153,5.569,0.049,5.599,0.015,5.520,0.038,BAAA
9,0,GJ 1002,1002,J00067-075,00:06:42.32,-07:32:47.3,M5.5 V,75.5,Rei95,Single,,-,,,,,,,2,Sua23,1,,,,,,,,,,,,,,,,,,,,,0.1073,0.0090,0.1244,0.0042,This work,0.0014070924,0.0000072012,This work,13.3468,0.0028,3169,53,Marf21,4.50,0.25,-0.15,Marf21,,,,,,,,,false,false,false,false,false,false,0,,false,2441630500517079808,00064325-0732147,J000642.61-073237.0,1.6763504259443900,0.04449895769357680,-7.5464753252597600,0.03153641149401670,206.35003920573300,0.04744553,DR3,-811.5659562556190,0.06421741,-1893.2508466548100,0.03386662,DR3,-40.457607,0.29774976,DR3,1.3369209,0.3583139181137090,177.4483642578130,1.5826743,1,0,NOT_AVAILABLE,0.67719734,4.3421364,23,-1.6404823,328,328,0.004502557683736090,4,false,14.0724,0.0031,11.7738,0.0028,10.3975,0.0039,8.323,0.019,7.792,0.034,7.439,0.021,AAA,7.155,0.046,7.029,0.020,6.859,0.016,6.697,0.081,AAAA
10,4,G 217-32A,,J00077+603,00:07:43.28,+60:22:54.0,M4.0 V,74.0,Alo15a,Multiple,Double,A,AB,,,,,,0,,3,,,,,,,,,,,,,,,,,,,,,0.2354,0.0370,0.2430,0.0166,This work,,,n/a,11.4663,0.0049,,,n/a,,,,n/a,,,,,,,,,true,false,false,false,true,false,0,,false,429297924157113856,00074264+6022543,J000743.08+602254.0,1.930349282862350,0.08581209182739260,60.38166243426180,0.09078073501586910,65.00416312003130,0.1165026,DR3,321.57497694637900,0.11646438,-3.13100449594332,0.11653684,DR3,1.528535,0.9742537,DR3,3.9059324,1.1836503744125400,1766.1590576171900,2.2578604,53,51,NOT_AVAILABLE,,,10,,432,425,0.011230423115193800,72,false,13.6442,0.0076,12.4016,0.0029,10.6950,0.0077,8.911,0.021,8.332,0.024,8.046,0.020,AAA,7.843,0.026,7.670,0.020,7.500,0.018,7.153,0.065,AAAA
